Region_name,LA_name,Gender,Ethnicity,Pupil Count,Pupils in Progress 8,Total achieve A*-C in English and Maths,Total Ebacc Entry,Total achieve Ebacc,Attainment 8 Total,Progress 8 Total,Attainment 8,Progress 8,Ebacc,GCSE A*-C,GCSE Average
North East,Stockton-on-Tees,,Black,x,x,x,x,x,x,x,x,x,x,x,x
North East,Stockton-on-Tees,,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Stockton-on-Tees,,,1994,1950,1273,802,522,99546,-328.863,49.9227683,-0.164926279,0.261785356,0.638415246,4.99227683
North East,Stockton-on-Tees,Female,White,859,847,587,399,275,44841.25,-40.466,52.20168801,-0.047108265,0.320139697,0.683352736,5.220168801
North East,Stockton-on-Tees,Female,Mixed,9,8,x,5,4,489.5,-2.426,54.38888889,-0.269555556,0.444444444,x,5.438888889
North East,Stockton-on-Tees,Female,Asian,52,49,36,30,24,2884,32.371,55.46153846,0.622519231,0.461538462,0.692307692,5.546153846
North East,Stockton-on-Tees,Female,Black,x,x,x,x,x,x,x,x,x,x,x,x
North East,Stockton-on-Tees,Female,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Stockton-on-Tees,Female,,928,911,636,441,308,48711.75,-4.165,52.49110991,-0.004488147,0.331896552,0.685344828,5.249110991
North East,Stockton-on-Tees,Male,White,983,968,588,335,199,46670.75,-321.922,47.47787386,-0.327489318,0.202441506,0.598168871,4.747787386
North East,Stockton-on-Tees,Male,Mixed,16,14,x,6,4,789.5,-3.483,49.34375,-0.2176875,0.25,x,4.934375
North East,Stockton-on-Tees,Male,Asian,54,47,31,15,7,2658.5,-0.022,49.23148148,-0.000407407,0.12962963,0.574074074,4.923148148
North East,Stockton-on-Tees,Male,Black,8,5,x,3,3,456,2.348,57,0.2935,0.375,x,5.7
North East,Stockton-on-Tees,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Stockton-on-Tees,Male,,1066,1039,637,361,214,50834.25,-324.698,47.6869137,-0.304594747,0.200750469,0.597560976,4.76869137
North East,County Durham,,White,4846,4793,3033,2010,1198,239035,-586.029,49.32624845,-0.120930458,0.247214197,0.625877012,4.932624845
North East,County Durham,,Mixed,42,36,28,26,15,2180,-0.989,51.9047619,-0.023547619,0.357142857,0.666666667,5.19047619
North East,County Durham,,Asian,33,30,23,25,14,1933.75,22.285,58.59848485,0.67530303,0.424242424,0.696969697,5.859848485
North East,County Durham,,Black,6,6,3,3,3,257,-1.753,42.83333333,-0.292166667,0.5,0.5,4.283333333
North East,County Durham,,Chinese,6,6,x,x,3,350,3.516,58.33333333,0.586,0.5,x,5.833333333
North East,County Durham,,,4979,4909,3103,2078,1239,244720.75,-627.381,49.15058245,-0.126005423,0.24884515,0.623217514,4.915058245
