REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
South East,Bracknell Forest,Mixed,74,56,74,64,74,52,74,52,74,45,0.756756757,0.864864865,0.702702703,0.702702703,0.608108108
South East,Bracknell Forest,Asian,80,58,80,64,80,62,80,63,80,52,0.725,0.8,0.775,0.7875,0.65
South East,Bracknell Forest,Black,37,18,37,31,37,19,37,27,37,15,0.486486486,0.837837838,0.513513514,0.72972973,0.405405405
South East,Bracknell Forest,Chinese,3,x,3,x,3,x,3,x,3,x,x,x,x,x,x
South East,Windsor and Maidenhead,,1340,968,1340,1000,1340,977,1340,988,1340,792,0.72238806,0.746268657,0.729104478,0.737313433,0.591044776
South East,Windsor and Maidenhead,White,1005,744,1005,744,1005,727,1005,739,1005,601,0.740298507,0.740298507,0.723383085,0.735323383,0.59800995
South East,Windsor and Maidenhead,Mixed,108,81,108,84,108,87,108,82,108,70,0.75,0.777777778,0.805555556,0.759259259,0.648148148
South East,Windsor and Maidenhead,Asian,178,110,178,137,178,130,178,130,178,98,0.617977528,0.769662921,0.730337079,0.730337079,0.550561798
South East,Windsor and Maidenhead,Black,15,10,15,12,15,8,15,11,15,7,0.666666667,0.8,0.533333333,0.733333333,0.466666667
South East,Windsor and Maidenhead,Chinese,4,x,4,x,4,x,4,x,4,x,x,x,x,x,x
South East,West Berkshire,,1675,1179,1675,1174,1675,1167,1675,1202,1675,931,0.703880597,0.700895522,0.696716418,0.71761194,0.555820896
South East,West Berkshire,White,1497,1054,1497,1043,1497,1032,1497,1067,1497,825,0.704074816,0.696726787,0.689378758,0.712758851,0.551102204
South East,West Berkshire,Mixed,85,59,85,62,85,63,85,64,85,49,0.694117647,0.729411765,0.741176471,0.752941176,0.576470588
South East,West Berkshire,Asian,44,34,44,36,44,34,44,36,44,31,0.772727273,0.818181818,0.772727273,0.818181818,0.704545455
South East,West Berkshire,Black,19,13,19,12,19,14,19,15,19,11,0.684210526,0.631578947,0.736842105,0.789473684,0.578947368
